symbol,strategy,gated,total_return,cagr,vol_annual,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,avg_holding_days
MU,buy_and_hold,False,26.036188315738954,0.5605515649245185,0.5190286714848305,1.1171131409404467,1.7013341153415222,-0.5762896737597452,0.9726906284255444,0.9994643813604713,1,1.0,1866.0
MU,buy_and_hold,True,10.081153412176246,0.3835466054460803,0.4490440666196181,0.9468782272091796,1.3122322251129366,-0.5554395936025264,0.690528024764016,0.7541510444563471,231,0.5021645021645021,6.095238095238095
MU,scenario_full,False,-0.06613735536915866,-0.009193329543466522,0.027577925986792113,-0.3203937352133846,-0.015934221745741307,-0.07491275277959675,-0.12272048753186945,0.0010712372790573112,2,0.5,1.0
MU,scenario_full,True,-0.07491275277959675,-0.010455159356237531,0.02734541857210132,-0.3699501057129709,-0.01723532228355464,-0.07491275277959675,-0.1395644795886489,0.0005356186395286556,1,0.0,1.0
MU,meltup_conflict_aware,False,15.86057694166129,0.46419259839139393,0.48448346739527887,1.0301015155417086,1.5036930152131345,-0.5330674572201618,0.8707952288291313,0.9994643813604713,1,1.0,1866.0
MU,meltup_conflict_aware,True,6.757018745849349,0.3185219356830322,0.41941650216997894,0.8689078471822627,1.1716817743324681,-0.5678701833683536,0.560906251132436,0.7541510444563471,231,0.5021645021645021,6.095238095238095
AVGO,buy_and_hold,False,17.393562769222584,0.4814923351254061,0.42424974014826095,1.1386992102078044,1.602145651342321,-0.48299978016787026,0.9968789943508044,0.9994643813604713,1,1.0,1866.0
AVGO,buy_and_hold,True,7.167583446591408,0.3277326935932092,0.3648287148804871,0.959604789096508,1.2545897579411014,-0.4119109812353702,0.7956396127393831,0.7541510444563471,231,0.4935064935064935,6.095238095238095
AVGO,scenario_full,False,0.009624588092769892,0.0012937117713403001,0.010103568332322514,0.13298753009358819,0.018990814146871055,-0.013103946424052104,0.09872688192357922,0.0032137118371719335,3,0.6666666666666666,2.0
AVGO,scenario_full,True,0.009624588092769892,0.0012937117713403001,0.010103568332322514,0.13298753009358819,0.018990814146871055,-0.013103946424052104,0.09872688192357922,0.0032137118371719335,3,0.6666666666666666,2.0
AVGO,meltup_conflict_aware,False,13.442035306974145,0.43390996858906816,0.3904863182990912,1.1196207103165623,1.5147842078008644,-0.4712933165866229,0.9206792316336959,0.9994643813604713,1,1.0,1866.0
AVGO,meltup_conflict_aware,True,5.998062462907143,0.3003241803461163,0.3445478103951032,0.9350559674909387,1.1909753288335272,-0.397581886741427,0.7553769182181993,0.7541510444563471,231,0.48917748917748916,6.095238095238095
MRVL,buy_and_hold,False,15.57518183135561,0.4608225972382085,0.5675047697852599,0.948054333461988,1.4434098051267248,-0.6187946587771944,0.7447100434720043,0.9994643813604713,1,1.0,1866.0
MRVL,buy_and_hold,True,4.597560954259733,0.261716589502877,0.5029872957915682,0.7085479480379795,0.9941186335740722,-0.6097290003691869,0.42923428169630995,0.7541510444563471,231,0.5108225108225108,6.095238095238095
MRVL,scenario_full,False,0.7577614819743979,0.07910495852728805,0.10265780221950993,0.7914253525787045,0.28943038777511965,-0.10807514032770205,0.7319440741638501,0.03802892340653455,5,0.6,14.2
MRVL,scenario_full,True,0.5191869840902574,0.05806692547222547,0.09272892091526899,0.6533816092408987,0.2298680488102453,-0.187764002090141,0.30925483493022765,0.023031601499732192,16,0.6875,2.6875
MRVL,meltup_conflict_aware,False,6.527529013164134,0.31318813263532164,0.5179063646354212,0.7837887260710901,1.1384558400205127,-0.5894656610648066,0.5313085279125179,0.9967862881628281,2,1.0,930.5
MRVL,meltup_conflict_aware,True,2.4450517225923085,0.18170338031735778,0.4616996905825473,0.5901249949006747,0.7861564293576837,-0.5863242609886092,0.309902544388979,0.7525441885377611,229,0.5021834061135371,6.135371179039302
GOOGL,buy_and_hold,False,6.042606014689049,0.3014382756771268,0.3132491991899413,0.9979648782401447,1.4243549239523785,-0.4432004922622613,0.6801397582806664,0.9994643813604713,1,1.0,1866.0
GOOGL,buy_and_hold,True,2.3088370917974914,0.1752862395584993,0.2881019671107428,0.7045227607217678,0.9193580661796894,-0.4362838941281241,0.40177105301765453,0.7541510444563471,231,0.5238095238095238,6.095238095238095
GOOGL,scenario_full,False,0.01998142030447103,0.002673987468807537,0.005017785613725979,0.5346849405054227,,-0.000200000000000089,13.369937344031737,0.0016068559185859668,3,1.0,1.0
GOOGL,scenario_full,True,0.01998142030447103,0.002673987468807537,0.005017785613725979,0.5346849405054227,,-0.000200000000000089,13.369937344031737,0.0016068559185859668,3,1.0,1.0
GOOGL,meltup_conflict_aware,False,4.1499509403334995,0.24760257061946733,0.2984381787715262,0.8905064498915752,1.2627006891396408,-0.44216891864352137,0.5599728071775341,0.9994643813604713,1,1.0,1866.0
GOOGL,meltup_conflict_aware,True,1.9086137569623363,0.15501185311256838,0.2747204967164739,0.661652144140179,0.8620353241246113,-0.4421689186435218,0.3505715724843598,0.7541510444563471,231,0.5238095238095238,6.095238095238095
NVDA,buy_and_hold,False,59.773110481969425,0.7408367858749825,0.5087300682301019,1.3438264028675957,2.057875777749412,-0.6633509307456265,1.1168097481106412,0.9994643813604713,1,1.0,1866.0
NVDA,buy_and_hold,True,12.855357669958847,0.4259059421937965,0.4577480408013076,1.00295576963393,1.3619726829605232,-0.6303836366164708,0.675629755365811,0.7541510444563471,231,0.49783549783549785,6.095238095238095
NVDA,scenario_full,False,0.010280204675929605,0.0013814493772335013,0.003279433368582885,0.4225882233018255,0.5181033043804332,-0.0007890159532123464,1.7508510082833704,0.0016068559185859668,3,0.6666666666666666,1.0
NVDA,scenario_full,True,0.002124617969408771,0.00028650904253169074,0.0011697563949107223,0.24547930463867973,0.09860918429267139,-0.0007890159532123464,0.36312198931493983,0.0010712372790573112,2,0.5,1.0
NVDA,meltup_conflict_aware,False,66.25140253010706,0.7648005438002077,0.47582546858601177,1.4313774946392905,2.1354523600731565,-0.6199993300449718,1.2335505971348917,0.9914301017675415,4,1.0,462.75
NVDA,meltup_conflict_aware,True,13.599283173191786,0.43600745048754663,0.4336933845444809,1.050001522402238,1.4195778118740077,-0.578769740812206,0.7533349097962231,0.7504017139796465,231,0.5151515151515151,6.064935064935065
AMD,buy_and_hold,False,23.75424695802827,0.5420878705596874,0.5526975057138254,1.0571484489734269,1.6924819286048935,-0.6544994279661678,0.8282480433087696,0.9994643813604713,1,1.0,1866.0
AMD,buy_and_hold,True,4.542757190941387,0.2600421248617475,0.47261042808455916,0.7230775588798446,1.0132063447178068,-0.6233787725932739,0.417149470425444,0.7541510444563471,231,0.5021645021645021,6.095238095238095
AMD,scenario_full,False,-0.012696306524125789,-0.0017231807470186045,0.004107628781758365,-0.41779884854639554,-0.023496751407566244,-0.012696306524125789,-0.1357229950099409,0.0010712372790573112,2,0.0,1.0
AMD,scenario_full,True,-0.011314239064031506,-0.001534675737490443,0.004083611934971049,-0.3740437836855784,-0.01762847360425587,-0.011314239064031506,-0.13564109161960777,0.0005356186395286556,1,0.0,1.0
AMD,meltup_conflict_aware,False,13.035471512833217,0.4283939252247839,0.5222462804487261,0.9411564513090975,1.455314234717169,-0.6353986331931072,0.6742128529171522,0.9930369576861274,3,1.0,618.0
AMD,meltup_conflict_aware,True,3.6158278365651872,0.22929944616118658,0.45460881249107066,0.6790553745078554,0.9365872665187852,-0.6323648083237468,0.36260627274469387,0.7498660953401178,230,0.5043478260869565,6.086956521739131
ARM,buy_and_hold,False,4.3900064820147415,0.8600854489789891,0.7563222975582592,1.1818153345958564,2.0437401901308383,-0.5397404441800758,1.593516769501222,0.9985380116959064,1,1.0,683.0
ARM,buy_and_hold,True,1.905060512073713,0.4812764561961802,0.6492470315966895,0.9096214747476552,1.4047500861920745,-0.4651196724061587,1.0347368317199725,0.6637426900584795,118,0.5508474576271186,3.847457627118644
ARM,scenario_full,False,0.008988892778323043,0.0033023424494151854,0.005575979987979068,0.5940434790432143,,-0.00019999999999986695,16.511712247086912,0.0014619883040935672,1,1.0,1.0
ARM,scenario_full,True,0.0,0.0,0.0,,,0.0,,0.0,0,,0.0
ARM,meltup_conflict_aware,False,3.3750350909984848,0.7224677287962495,0.7253367389080578,1.0952538462841932,1.8369288800459287,-0.5643643367903145,1.2801441935631683,0.9985380116959064,1,1.0,683.0
ARM,meltup_conflict_aware,True,1.4915169559170187,0.3997988354670139,0.6297052231540238,0.8283856965770284,1.2629067145769164,-0.4867984298792767,0.8212820973275566,0.6637426900584795,118,0.5423728813559322,3.847457627118644
QQQ,buy_and_hold,False,3.7601426985774253,0.2344183347883968,0.23950133910600813,0.9996828368727667,1.3000964001750963,-0.3511872364124521,0.6675024331268237,0.9994643813604713,1,1.0,1866.0
QQQ,buy_and_hold,True,1.6869952238438013,0.1427222515030142,0.22086878132884813,0.7147642663915555,0.8625628816436771,-0.32880091830578173,0.4340688956661729,0.7541510444563471,231,0.6017316017316018,6.095238095238095
QQQ,scenario_full,False,0.006859819495442121,0.0009231748150657637,0.0025946151875040524,0.35693189280607784,,-0.00019999999999997797,4.615874075329327,0.0005356186395286556,1,1.0,1.0
QQQ,scenario_full,True,0.006859819495442121,0.0009231748150657637,0.0025946151875040524,0.35693189280607784,,-0.00019999999999997797,4.615874075329327,0.0005356186395286556,1,1.0,1.0
QQQ,meltup_conflict_aware,False,3.0656820749683,0.20842118176320512,0.2262128685026996,0.9505474318344534,1.213012165922882,-0.31466966248260597,0.6623491445563998,0.9994643813604713,1,1.0,1866.0
QQQ,meltup_conflict_aware,True,1.6539938940228502,0.1408177556937542,0.20933103454369012,0.7343102083490426,0.8815385862676886,-0.2828411140254633,0.4978687634538055,0.7541510444563471,231,0.6017316017316018,6.095238095238095
SPY,buy_and_hold,False,2.2853372026323298,0.17415611005568898,0.19475117638690995,0.9223061078969313,1.1264918199228497,-0.33717248249298626,0.5165193457307469,0.9994643813604713,1,1.0,1866.0
SPY,buy_and_hold,True,0.8700868850616963,0.08816508826341196,0.18236227145404152,0.5548102954096235,0.6439808110625287,-0.28319045425303857,0.31132789590652654,0.7541510444563471,231,0.6103896103896104,6.095238095238095
SPY,scenario_full,False,0.0072642706274452795,0.0009774346629289887,0.002743140337462105,0.3575110508934084,,-0.000200000000000089,4.887173314642769,0.0005356186395286556,1,1.0,1.0
SPY,scenario_full,True,0.0072642706274452795,0.0009774346629289887,0.002743140337462105,0.3575110508934084,,-0.000200000000000089,4.887173314642769,0.0005356186395286556,1,1.0,1.0
SPY,meltup_conflict_aware,False,1.7642042919691532,0.1471001205317961,0.18710942314105966,0.827535835757847,0.9878085390296958,-0.3371724824929866,0.4362755805105059,0.9967862881628281,2,1.0,930.5
SPY,meltup_conflict_aware,True,0.761958791260277,0.07945240094710893,0.1759195350309296,0.5228922944567072,0.5974054896095053,-0.28319045425303846,0.2805617200504789,0.7530798071772897,230,0.6043478260869565,6.113043478260869
